Name, Skill CD (Max), # of Skillups, In-Game Description, Parsed Description
"Shine Flare Loop","13","6","Changes all Orbs to Fire, Light & Heal Orbs;
other allies' skills charged by 2 turns","Change all orbs to Fire, Light & Heart orbs.
Team skills charged by 2 to 2 turns."
"Harmonic Scale","25","6","Changes all Orbs to Fire, Water, Wood, Light & Dark Orbs;
voids damage absorption for 2 turns","Change all orbs to Fire, Water, Wood, Light & Dark orbs.
Voids attribute damage absorption for 2 turns."
"Gale Shout","3","6","Heal Orbs & Jammers more likely to appear for 2 turns;
changes the leftmost column to Heal Orbs","Increase skyfall chance of Heart & Jammer orbs by 15% for 2 turns.
Change the leftmost column into Heart orbs."
"キラキラ桜吹雪","6","1","消せないドロップ状態を5ターン回復。
最上段横1列を水ドロップに変化。","Reduces unmatchable orb status by 5 turns.
Change the top row into Water orbs."
"魔眼獄滅波","14","1","ランダムで火と木ドロップを15個ずつ生成。","Randomly spawn 15 Fire & Wood orbs each from non  orbs."
"神剣ヌラノツルギ","6","1","左端縦1列を光ドロップに変化。
3ターンの間、光ドロップが少し落ちやすくなる。","Change the leftmost column into Light orbs.
Increase skyfall chance of Light orbs by 15% for 3 turns."
"大ガマ変化の術","5","6","バインド状態と覚醒無効状態を5ターン回復。
回復、お邪魔、毒ドロップを水ドロップに変化。","5 turn bind recovery. 5 turn awoken bind recovery.
Changes Heart, Jammer, Poison & Mortal Poison orbs into Water orbs."
"本家軍の大将","10","1","バインド状態と覚醒無効状態を全回復。
回復、お邪魔、毒、爆弾ドロップを水ドロップに変化。","9999 turn bind recovery. 9999 turn awoken bind recovery.
Changes Dark, Heart, Jammer, Poison & Mortal Poison orbs into Water orbs."
"土蜘蛛・土遁の術","7","6","3ターンの間、受けるダメージを軽減。
最上段横1列を木ドロップに変化。","35% damage reduction for 3 turns.
Change the top row into Wood orbs."
"元祖軍の大将","12","1","3ターンの間、受けるダメージを半減。
敵の行動を3ターン遅らせる。","50% damage reduction for 3 turns.
Delay 3 turns to all enemies."
"ハラキリソード","2","6","HPが50％減少。
1ターンの間、攻撃タイプの攻撃力が1.5倍。","Reduces own HP by 50%.
Attacker Type cards ATK x1.5 for 1 turn."
"閃光ぎり","15","1","HPが50％減るが、敵全体に攻撃力×200倍の火属性攻撃。
2ターンの間、火属性の攻撃力が4倍。","Inflict a 200x Fire attack to all enemies but HP falls to 50%. Affected by enemy element and defense.
Fire Attribute ATK x4 for 2 turns."
"切り札はハートのＡ","4","6","1ターンの間、ドロップ操作を1秒延長。
回復ドロップを闇ドロップに変化。","Orb move time +1 seconds for 1 turn.
Changes Heart orbs into Dark orbs."
"すご腕エージェント","10","1","3ターンの間、ドロップ操作を3秒延長。
最上段横1列を闇に、最下段横1列を回復ドロップに変化。","Orb move time +3 seconds for 3 turn.
Change the top row into Dark orbs. Change the bottom row into Heart orbs."
"いいねサイクロン","4","6","1ターンの間、回復力が1.5倍。
1ターンの間、受けるダメージを軽減。","All Attribute cards RCV x1.5 for 1 turns.
35% damage reduction for 1 turns."
"インズラばえるズラ","10","1","1ターンの間、回復力が4倍。
1ターンの間、受けるダメージを激減。","All Attribute cards RCV x4 for 1 turns.
75% damage reduction for 1 turns."
"極太ＵＳＡビーム","5","6","2ターンの間、落ちコンなし。
火と光ドロップを水ドロップに変化。","No skyfall combos for 2 turns.
Changes Fire & Light orbs into Water orbs."
"何言ってるダニ！？","12","1","2ターンの間、水ドロップが落ちやすくなる。
火と光ドロップを水ドロップに変化。","Increase skyfall chance of Water orbs by 25% for 2 turns.
Changes Fire & Light orbs into Water orbs."
"ボウギョモードニャン","8","6","1ターンの間、受けるダメージを激減。
全ドロップをロック。","75% damage reduction for 1 turns.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"鋼鉄パワー","10","1","1ターンの間、受けるダメージを激減。
消せないドロップ状態を5ターン回復。","75% damage reduction for 1 turns.
Reduces unmatchable orb status by 5 turns."
"Dimension Guide - Holy Fang","14","5","2x ATK for God & Dragon Types & 2x RCV for 4 turns;
other allies' skills charged by 2 turns","All Attribute cards RCV x2 for 4 turns.
Dragon & God Type cards ATK x2 for 4 turns.
Team skills charged by 2 to 2 turns."
"Sunset Reasoning","5","5","Changes Orbs to all Attributes, Heal & Jammers;
2x Orb move time, but no Skyfall Combos for 1 turn","Change all orbs to Fire, Water, Wood, Light, Dark, Heart & Jammer orbs.
No skyfall combos for 1 turns.
2x orb move time for 1 turn."
"Stellar Incandescence","10","5","Changes all Orbs to Water, Light & Dark Orbs;
reduces damage for 3 turns","Change all orbs to Water, Light & Dark orbs.
35% damage reduction for 3 turns."
"はてなく巡る優星","2","5","1ターンの間、回復力が1.5倍。
闇以外のドロップから回復ドロップを3個生成。","All Attribute cards RCV x1.5 for 1 turns.
Randomly spawn 3 Heart orbs each from non Dark & Heart orbs."
"Divine Lifeforce Barrier","13","5","Voids damage for 1 turn;
recovers 30% HP for 3 turns","100% damage reduction for 1 turns.
Heal for 30% of max HP every turn for 3 turns."
"Eternal Vesper","7","5","Inflicts 200x ATK Dark Att. attack on 1 enemy, but halves
HP; changes leftmost column to Dark & rightmost to Heal","Inflict a 200x Dark attack to 1 enemy but HP falls to 50%. Affected by enemy element and defense.
Change the leftmost column into Dark orbs. Change the rightmost column into Heart orbs."
"Reversal Flame","2","7","Fire Orbs enhanced, removes Orb locks;
Orb move time +2 seconds for 1 turn","Enhance Fire orbs.
Unlock all orbs.
Orb move time +2 seconds for 1 turn."
"Blazing Storm Barricade","11","5","Halves damage for 3 turns;
other allies' skills charged by 1 turn","50% damage reduction for 3 turns.
Team skills charged by 1 to 1 turns."
"Divine Illumination","8","5","Recovers 40% HP, reduces bind status (incl. Awoken)
by 4 turns; other allies' skills charged by 1 turn","Recover 40% of max HP. 4 turn bind recovery. 4 turn awoken bind recovery.
Team skills charged by 1 to 1 turns."
"Calming Mountain Wind","5","5","Removes Orb locks; changes Water Orbs to
Heal Orbs, Wood & Heal Orbs enhanced","Unlock all orbs.
Change Water orbs to Heart orbs.
Enhance Wood & Heart orbs."
"Heaven-Shaking Lightning Wall","13","5","2x RCV & vastly reduces damage for 2 turns;
other allies' skills charged by 1 turn","All Attribute cards RCV x2 for 2 turns.
75% damage reduction for 2 turns.
Team skills charged by 1 to 1 turns."
"True Rudraksha","12","6","Changes the leftmost column to Fire Orbs, fully recovers 
Awkn Skill bind; other allies' skills charged by 2 turns","Change the leftmost column into Fire orbs.
9999 turn awoken bind recovery.
Team skills charged by 2 to 2 turns."
"True Hydra Horn","13","9","Mortally poisons all enemies, changes the top row to
Water Orbs; other allies' skills charged by 2 turns","Inflict Poison damage equal to ATK x100 to all enemies every turn. Ignore enemy element and defense.
Change the top row into Water orbs.
Team skills charged by 2 to 2 turns."
"True Draupnir","7","8","Changes rightmost column to Heal Orbs; fully rcv Awoken
Skill bind status, other allies' skills charged by 1 turn","Change the rightmost column into Heart orbs.
9999 turn awoken bind recovery.
Team skills charged by 1 to 1 turns."
"True Sunlight Crown","13","6","Orb move time +5 seconds & adds 1 combo for 5 turns;
other allies' skills charged by 2 turns, all Orbs locked","Orb move time +5 seconds for 5 turn.
+1 combo counts for 5 turn.
Team skills charged by 2 to 2 turns.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"True Moon God's Arm","7","8","Creates 5 Dark & Heal Orbs each at random;
other allies' skills charged by 1 turn","Randomly spawn 5 Dark & Heart orbs each from non Dark & Heart orbs.
Team skills charged by 1 to 1 turns."
"Art of Disguise - Roche","10","1","Wood Orbs more likely to appear for 10 turns;
changes to Roche Disguise","Increase skyfall chance of Wood orbs by 15% for 10 turns.
Transform into Roche Disguise (#5947)."
"Art of Disguise - Ancient Dragon Knight - Rex","3","1","Changes Fire & Jammers to Wood and Water & Poison to
Dark; changes to Ancient Dragon Knight - Rex Disguise","Change Fire orbs to Wood orbs, Jammer orbs to Wood orbs.
Changes Water, Poison & Mortal Poison orbs into Dark orbs.
Transform into Ancient Dragon Knight - Rex Disguise (#5948)."
"Art of Disguise - Freyja","3","1","Orb move time +2 seconds for 10 turns;
changes to Freyja Disguise","Orb move time +2 seconds for 10 turn.
Transform into Freyja Disguise (#5949)."
"Art of Disguise - Sonia Fio","3","1","2.5x RCV & 2.5x ATK for Wood & Dark Att. for 3 turns;
changes to Sonia Fio Disguise","All Attribute cards RCV x2.5 for 3 turns.
Wood & Dark Attribute cards ATK x2.5 for 3 turns.
Transform into Sonia Fio Disguise (#5950)."
"Art of Disguise - Odin","3","1","Removes Orb locks, changes all Orbs to Wood &
Dark Orbs; changes to Odin Disguise","Unlock all orbs.
Change all orbs to Wood & Dark orbs.
Transform into Odin Disguise (#5951)."
"Art of Disguise - Zela","3","1","Fully recovers unmatchable Orb status & bind status
(incl. Awoken); changes to Zela Disguise","Reduces unmatchable orb status by 9999 turns.
9999 turn bind recovery. 9999 turn awoken bind recovery.
Transform into Zela Disguise (#5952)."
"Remove Disguise - Jiraiya","3","1","Removes Orb locks, changes all Orbs to Wood & Heal; adds
2 combos for 1 turn, changes to Phantom Ninja, Jiraiya","Unlock all orbs.
Change all orbs to Wood & Heart orbs.
+2 combo counts for 1 turn.
Transform into Phantom Ninja, Jiraiya (#5946)."
"Ninja Art - Wind Weaving Transformation","5","1","Changes Water to Wood and Light to Fire Orbs, Wood Orbs
locked; Wood Orbs locked as they appear for 10 turns","Change Water orbs to Wood orbs, Light orbs to Fire orbs.
Lock Wood orbs.
Wood orbs skyfall as locked orbs for 10 turns."
"Overflame","30","1","Vastly reduces damage for 3 turns;
changes to Bright Crimson Divine Mech King, Grandis","75% damage reduction for 3 turns.
Transform into Bright Crimson Divine Mech King, Grandis (#5955)."
"King's Flare","3","1","3x ATK for Fire Att. & adds 1 combo for 1 turn;
changes the bottom row to Fire Orbs","+1 combo counts for 1 turn.
Fire Attribute ATK x3 for 1 turns.
Change the bottom row into Fire orbs."
"Lava Glanz","8","1","Changes Light & Dark Orbs to Fire Orbs, Fire Orbs
locked; Fire Orbs locked as they appear for 10 turns","Changes Light & Dark orbs into Fire orbs.
Lock Fire orbs.
Fire orbs skyfall as locked orbs for 10 turns."
"Twinkling Snow","5","6","Changes the leftmost column to Water Orbs, Water Orbs
locked; Water Orbs locked as they appear for 10 turns","Change the leftmost column into Water orbs.
Lock Water orbs.
Water orbs skyfall as locked orbs for 10 turns."
"Healing Hail","2","1","Changes 2 non-Water Orbs to Heal Orbs;
Heal Orbs locked as they appear for 2 turns","Randomly spawn 2 Heart orbs each from non Water & Heart orbs.
Heart orbs skyfall as locked orbs for 2 turns."
"None","1","0","",""
"8周年記念たまぁ！","8","1","8ターンの間、HPを8％回復。","8ターンの間、HPを8％回復。"
"Light of Intelligence","5","41","All Orbs enhanced;
all Orbs locked","Enhance Fire, Water, Wood, Light, Dark & Heart orbs.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"Book of Sanctuary","13","21","Fully recovers HP & bind status (incl. Awoken);
all Orbs locked","Recover 100% of max HP. 9999 turn bind recovery. 9999 turn awoken bind recovery.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"Book of Sanctuary","13","21","Fully recovers HP & bind status (incl. Awoken);
all Orbs locked","Recover 100% of max HP. 9999 turn bind recovery. 9999 turn awoken bind recovery.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"Line of Thunder","6","31","Changes the 2 leftmost & 2 rightmost columns to
Light Orbs & Jammers at random","Change the leftmost, 2nd from the left, 2nd from the right and rightmost column into Light & Jammer orbs."
"Line of Thunder","6","31","Changes the 2 leftmost & 2 rightmost columns to
Light Orbs & Jammers at random","Change the leftmost, 2nd from the left, 2nd from the right and rightmost column into Light & Jammer orbs."
"Imbue with Sacred Relic, Darion","18","1","Fr & Wd Orbs slightly more likely to appear for 15 turns;
changes to Ferocious Flame Dragon Warrior, Grigory","Increase skyfall chance of Fire & Wood orbs by 15% for 15 turns.
Transform into Ferocious Flame Dragon Warrior, Grigory (#5967)."
"Gigantic Slash","8","1","Pierce through enemy's damage void for 1 turn;
changes all Orbs to Fire, Wood & Heal Orbs","Ignores enemy damage void effects for 1 turn (does not include combo shield, attribute absorb, and damage absorb).
Change all orbs to Fire, Wood & Heart orbs."
"Imbue with Sacred Relic, Jind","18","1","Orb move time +1 second for 15 turns;
changes to Cryomancer Dragon Martial Artist, Deena","Orb move time +1 seconds for 15 turn.
Transform into Cryomancer Dragon Martial Artist, Deena (#5969)."
"Splash Step","1","1","Creates 3 Water Orbs at random, all Orbs locked;
1.2x ATK for Water Att. for 1 turn","Randomly spawn 3 Water orbs each from non Water orbs.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs.
Water Attribute ATK x1.2 for 1 turns."
"Imbue with Sacred Relic, Muy","12","1","Recovers 40% HP for 8 turns;
changes to Watchful Grove Dragon Healer, Alynna","Heal for 40% of max HP every turn for 8 turns.
Transform into Watchful Grove Dragon Healer, Alynna (#5971)."
"Nature's Call","4","1","Fully recovers bind status (incl. Awoken);
changes the top row to Wood Orbs, Wood Orbs locked","9999 turn bind recovery. 9999 turn awoken bind recovery.
Change the top row into Wood orbs.
Lock Wood orbs."
"Imbue with Sacred Relic, Arwill","18","1","Adds 1 combo for 15 turns;
changes to Seraphic Dragon Hero, Dyer","+1 combo counts for 15 turn.
Transform into Seraphic Dragon Hero, Dyer (#5973)."
"Shining Bravely","6","1","Pierce through enemy's damage void for 1 turn;
halves damage for 1 turn","Ignores enemy damage void effects for 1 turn (does not include combo shield, attribute absorb, and damage absorb).
50% damage reduction for 1 turns."
"Imbue with Sacred Relic, Trinitas","12","1","Changes all Orbs to Light & Dark Orbs;
changes to Evil-Warding Dragon Wizard, Hermei","Change all orbs to Light & Dark orbs.
Transform into Evil-Warding Dragon Wizard, Hermei (#5975)."
"Zone of Black Light","4","1","3x RCV & 3x ATK for Dark Att. for 1 turn;
Dark Orbs locked","Dark &  Attribute cards ATK x3, RCV x3 for 1 turns.
Lock Dark orbs."
"Imbue with Sacred Relic, Canoue","14","1","Other allies' skills charged by 3 turns;
changes to Flowing Blossom Dragon Dancer, Elsha","Team skills charged by 3 to 3 turns.
Transform into Flowing Blossom Dragon Dancer, Elsha (#5977)."
"Fascinating Whisper","9","1","Changes all Orbs to Water & Light Orbs;
Orb move time +2 seconds for 1 turn","Change all orbs to Water & Light orbs.
Orb move time +2 seconds for 1 turn."
"Imbue with Sacred Relic, Graeol","18","1","Removes locks, changes Orbs to all Att. & Heal; changes
to Domain-Protecting Dragon Centurion, Reeta","Unlock all orbs.
Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs.
Transform into Domain-Protecting Dragon Centurion, Reeta (#5979)."
"Sacred Form","6","1","Reduces damage for 3 turns;
1.5x ATK for God & Balanced Types for 3 turns","35% damage reduction for 3 turns.
Balanced & God Type cards ATK x1.5 for 3 turns."
"Imbue with Sacred Relic, Gallivan","14","1","Delays enemies' next move for 3 turns;
changes to Ascending Volcanic Dragon Berserker, Duval","Delay 3 turns to all enemies.
Transform into Ascending Volcanic Dragon Berserker, Duval (#5981)."
"Fury's Edge","4","1","Changes the leftmost column to Fire Orbs;
2x ATK for Physical & Dragon Types for 1 turn","Change the leftmost column into Fire orbs.
Physical & Dragon Type cards ATK x2 for 1 turns."
"Imbue with Sacred Relic, Shamli","12","1","Halves damage for 2 turns;
changes to Chthonic Conquering Dragon Assassin, Shivnia","50% damage reduction for 2 turns.
Transform into Chthonic Conquering Dragon Assassin, Shivnia (#5983)."
"Cursed Movement","6","1","Halves HP;
changes the top and bottom rows to Dark Orbs","Reduces own HP by 50%.
Change the top and bottom row into Dark orbs."
"Imbue with Sacred Relic, Raj","12","1","Delays enemies' next move for 2 turns;
changes to Impaling Dragon Lancer, Lampeid","Delay 2 turns to all enemies.
Transform into Impaling Dragon Lancer, Lampeid (#5985)."
"Ocean Routine","10","1","3x ATK for Water Att. for 3 turns;
fully recovers Awoken Skill bind status","Water Attribute ATK x3 for 3 turns.
9999 turn awoken bind recovery."
"Imbue with Sacred Relic, Neit","2","1","2.5x ATK for Attacker Type for 1 turn;
changes to Spiral-Piercing Dragon Archer, P'numas","Attacker Type cards ATK x2.5 for 1 turn.
Transform into Spiral-Piercing Dragon Archer, P'numas (#5987)."
"Liberation Shield","2","1","Halves damage for 1 turn;
changes to Elven Archer, P'numas","50% damage reduction for 1 turns.
Transform into Elven Archer, P'numas (#5986)."
"Imbue with Sacred Relic, Muffus","12","1","Reduces damage for 6 turns;
changes to Swift-Aiding Dragon Apothecary, Lisheilla","35% damage reduction for 6 turns.
Transform into Swift-Aiding Dragon Apothecary, Lisheilla (#5989)."
"Bright Potion","6","1","Reduces Awoken Skill bind status by 5 turns;
changes all Orbs to Wood, Light & Heal Orbs","5 turn awoken bind recovery.
Change all orbs to Wood, Light & Heart orbs."
"Imbue with Sacred Relic, Doors","12","1","Other allies' skills charged by 2 turns;
changes to Iron-Clad Dragon Merchant, Polowne","Team skills charged by 2 to 2 turns.
Transform into Iron-Clad Dragon Merchant, Polowne (#5991)."
"Wonder Pocket","8","1","Voids damage absorption & Attribute absorption
for 1 turn","Voids attribute absorption and damage absorption for 1 turns."
"Water Bite","8","16","Changes the outermost columns to
Water & Heal Orbs at random","Change the leftmost and rightmost column into Water & Heart orbs."
"Flash Needle","2","16","15 Orbs locked at random","Randomly lock 15 of the following orbs: Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison."
"Prayer of Falling Flame","5","16","Fire Orbs more likely to appear for 1 to 10 turns","Increase skyfall chance of Fire orbs by 15% for 1 turns."
"Prayer of Piercing Wind","8","16","Changes all non-Wood Orbs to all Attributes at random","Changes Fire, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs into Fire, Water, Wood, Light & Dark orbs."
"Evil Star Flame","10","39","Inflicts 200x ATK Dark Att. attack on all enemies, but
HP falls to 1; voids Attribute absorption for 2 turns","Inflict a 200x Dark attack to all enemies but HP falls to 1. Affected by enemy element and defense.
Voids attribute absorption for 2 turns."
"Imbue with Sacred Relic, Deig","18","16","Dark Orbs slightly more likely to appear for 15 turns;
changes to Mischievous Silver Dragon Jester, Cherney","Increase skyfall chance of Dark orbs by 15% for 15 turns.
Transform into Mischievous Silver Dragon Jester, Cherney (#5998)."
"Dark Fragment","2","1","Creates 3 Dark Orbs at random","Randomly spawn 3 Dark orbs each from non Dark orbs."
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"None","1","0","",""
"無し","1","0","",""
"ドリーム・オブ・セレブレーション","10","1","消せないドロップ、バインド、覚醒無効状態と
HPを全回復。","Reduces unmatchable orb status by 9999 turns.
Recover 100% of max HP. 9999 turn bind recovery. 9999 turn awoken bind recovery."
"ドリーム・オブ・セレブレーション","10","1","消せないドロップ、バインド、覚醒無効状態と
HPを全回復。","Reduces unmatchable orb status by 9999 turns.
Recover 100% of max HP. 9999 turn bind recovery. 9999 turn awoken bind recovery."
"ドリーム・オブ・セレブレーション","10","1","消せないドロップ、バインド、覚醒無効状態と
HPを全回復。","Reduces unmatchable orb status by 9999 turns.
Recover 100% of max HP. 9999 turn bind recovery. 9999 turn awoken bind recovery."
"ドリーム・オブ・ハピネス","8","3","全ドロップを5属性＋回復ドロップに変化。
4ターンの間、回復力が2倍。","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs.
All Attribute cards RCV x2 for 4 turns."
"ドリーム・オブ・ハピネス","8","3","全ドロップを5属性＋回復ドロップに変化。
4ターンの間、回復力が2倍。","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs.
All Attribute cards RCV x2 for 4 turns."
"ドリーム・オブ・ファンタジー","10","3","2ターンの間、属性吸収を無効化。
全ドロップを火、水、光、回復ドロップに変化。","Voids attribute absorption for 2 turns.
Change all orbs to Fire, Water, Light & Heart orbs."
"ドリーム・オブ・バディ","18","3","2ターンの間、ダメージ吸収を無効化。
全ドロップをロック。","Voids attribute damage absorption for 2 turns.
Lock Fire, Water, Wood, Light, Dark, Heart, Jammer, Poison & Mortal Poison orbs."
"ドリーム・オブ・アドベンチャー","25","1","2ターンの間、ダメージ無効を貫通。
全ドロップを火、水、光、闇、回復ドロップに変化。","Ignores enemy damage void effects for 2 turn (does not include combo shield, attribute absorb, and damage absorb).
Change all orbs to Fire, Water, Light, Dark & Heart orbs."
"ドリーム・オブ・アドベンチャー","25","1","2ターンの間、ダメージ無効を貫通。
全ドロップを火、水、光、闇、回復ドロップに変化。","Ignores enemy damage void effects for 2 turn (does not include combo shield, attribute absorb, and damage absorb).
Change all orbs to Fire, Water, Light, Dark & Heart orbs."
"ドリーム・オブ・ハピネス","8","3","全ドロップを5属性＋回復ドロップに変化。
4ターンの間、回復力が2倍。","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs.
All Attribute cards RCV x2 for 4 turns."
"ドリーム・オブ・ドリーム","9","1","最上段横1列を回復ドロップに変化。
7ターンの間、受けるダメージを軽減。","Change the top row into Heart orbs.
30% damage reduction for 7 turns."
"ドリーム・オブ・ドリーム","9","1","最上段横1列を回復ドロップに変化。
7ターンの間、受けるダメージを軽減。","Change the top row into Heart orbs.
30% damage reduction for 7 turns."
"ドリーム・オブ・ドリーム","9","1","最上段横1列を回復ドロップに変化。
7ターンの間、受けるダメージを軽減。","Change the top row into Heart orbs.
30% damage reduction for 7 turns."
"ドリーム・オブ・ドリーム","9","1","最上段横1列を回復ドロップに変化。
7ターンの間、受けるダメージを軽減。","Change the top row into Heart orbs.
30% damage reduction for 7 turns."
"ドリーム・オブ・エナジー","8","1","1ターンの間、攻撃タイプの攻撃力が3倍。
最上段横1列を水ドロップに変化。","Attacker Type cards ATK x3 for 1 turn.
Change the top row into Water orbs."
"ドリーム・オブ・エナジー","8","1","1ターンの間、攻撃タイプの攻撃力が3倍。
最上段横1列を水ドロップに変化。","Attacker Type cards ATK x3 for 1 turn.
Change the top row into Water orbs."
"ドリーム・オブ・エナジー","8","1","1ターンの間、攻撃タイプの攻撃力が3倍。
最上段横1列を水ドロップに変化。","Attacker Type cards ATK x3 for 1 turn.
Change the top row into Water orbs."
"ドリーム・オブ・エナジー","8","1","1ターンの間、攻撃タイプの攻撃力が3倍。
最上段横1列を水ドロップに変化。","Attacker Type cards ATK x3 for 1 turn.
Change the top row into Water orbs."
"ドリーム・オブ・ディライト","9","1","敵の行動を2ターン遅らせる。
最下段横1列を木ドロップに変化。","Delay 2 turns to all enemies.
Change the bottom row into Wood orbs."
"ドリーム・オブ・ディライト","9","1","敵の行動を2ターン遅らせる。
最下段横1列を木ドロップに変化。","Delay 2 turns to all enemies.
Change the bottom row into Wood orbs."
"ドリーム・オブ・ディライト","9","1","敵の行動を2ターン遅らせる。
最下段横1列を木ドロップに変化。","Delay 2 turns to all enemies.
Change the bottom row into Wood orbs."
"ドリーム・オブ・ワンダー","10","1","1ターンの間、1コンボ加算。
ランダムで5属性ドロップを6個ずつ生成。","+1 combo counts for 1 turn.
Randomly spawn 6 Fire, Water, Wood, Light & Dark orbs each from non  orbs."
"ドリーム・オブ・ワンダー","10","1","1ターンの間、1コンボ加算。
ランダムで5属性ドロップを6個ずつ生成。","+1 combo counts for 1 turn.
Randomly spawn 6 Fire, Water, Wood, Light & Dark orbs each from non  orbs."
"ドリーム・オブ・ワンダー","10","1","1ターンの間、1コンボ加算。
ランダムで5属性ドロップを6個ずつ生成。","+1 combo counts for 1 turn.
Randomly spawn 6 Fire, Water, Wood, Light & Dark orbs each from non  orbs."
"ドリーム・オブ・ビューティー","13","1","敵全体に30万の固定ダメージ。
1ターンの間、受けるダメージを激減。","Deal 300,000 damage to all enemies. Ignore enemy element and defense.
75% damage reduction for 1 turns."
"ドリーム・オブ・ビューティー","13","1","敵全体に30万の固定ダメージ。
1ターンの間、受けるダメージを激減。","Deal 300,000 damage to all enemies. Ignore enemy element and defense.
75% damage reduction for 1 turns."
"ドリーム・オブ・ビューティー","13","1","敵全体に30万の固定ダメージ。
1ターンの間、受けるダメージを激減。","Deal 300,000 damage to all enemies. Ignore enemy element and defense.
75% damage reduction for 1 turns."
"ドリーム・オブ・ジョイ","9","1","覚醒無効状態を全回復。
3ターンの間、ドロップ操作時間が2倍。","9999 turn awoken bind recovery.
2x orb move time for 3 turn."
"ドリーム・オブ・ジョイ","9","1","覚醒無効状態を全回復。
3ターンの間、ドロップ操作時間が2倍。","9999 turn awoken bind recovery.
2x orb move time for 3 turn."
"ドリーム・オブ・ジョイ","9","1","覚醒無効状態を全回復。
3ターンの間、ドロップ操作時間が2倍。","9999 turn awoken bind recovery.
2x orb move time for 3 turn."
"ドリーム・オブ・インテリジェンス","9","1","4ターンの間、HPを40％回復。
ドロップのロック状態を解除。","Heal for 40% of max HP every turn for 4 turns.
Unlock all orbs."
"ドリーム・オブ・インテリジェンス","9","1","4ターンの間、HPを40％回復。
ドロップのロック状態を解除。","Heal for 40% of max HP every turn for 4 turns.
Unlock all orbs."
"ドリーム・オブ・インテリジェンス","9","1","4ターンの間、HPを40％回復。
ドロップのロック状態を解除。","Heal for 40% of max HP every turn for 4 turns.
Unlock all orbs."
"マジック・オブ・ファンタジー","4","1","全ドロップを強化。
バインド状態と覚醒無効状態を2ターン回復。","Enhance Fire, Water, Wood, Light, Dark & Heart orbs.
2 turn bind recovery. 2 turn awoken bind recovery."
"マジック・オブ・ハピネス","4","5","闇ドロップを火ドロップに変化。","Changes Dark orbs into Fire orbs."
"マジック・オブ・ドリーム","4","5","火ドロップを闇ドロップに変化。","Changes Fire orbs into Dark orbs."
"マジック・オブ・エナジー","4","5","木ドロップを水ドロップに変化。","Changes Wood orbs into Water orbs."
"マジック・オブ・ディライト","4","5","水ドロップを木ドロップに変化。","Changes Water orbs into Wood orbs."
"マジック・オブ・ワンダー","4","5","右端縦1列を回復ドロップに変化。","Change the rightmost column into Heart orbs."
"マジック・オブ・ビューティー","5","5","最下段横1列を回復ドロップに変化。","Change the bottom row into Heart orbs."
"None","1","0","",""
"Wild Blaze","9","6","Delays enemies' next move for 2 turns; reduces
Awoken Skill bind & unmatchable Orb status by 5 turns","Delay 2 turns to all enemies.
Reduces unmatchable orb status by 5 turns.
5 turn awoken bind recovery."
"Wild Blaze","9","6","Delays enemies' next move for 2 turns; reduces
Awoken Skill bind & unmatchable Orb status by 5 turns","Delay 2 turns to all enemies.
Reduces unmatchable orb status by 5 turns.
5 turn awoken bind recovery."
"Twinkling Dark","10","6","Vastly reduces RCV and 1.5x ATK for Light Att.
for 1 turn; adds 3 combos for 1 turn","All Attribute cards RCV x0.25 for 1 turns.
Light Attribute ATK x1.5 for 1 turns.
+3 combo counts for 1 turn."
"Twinkling Dark","10","6","Vastly reduces RCV and 1.5x ATK for Light Att.
for 1 turn; adds 3 combos for 1 turn","All Attribute cards RCV x0.25 for 1 turns.
Light Attribute ATK x1.5 for 1 turns.
+3 combo counts for 1 turn."
"Smiles All Around","20","10","Changes Orbs to all Attributes & Heal;
voids damage absorption for 2 turns","Change all orbs to Fire, Water, Wood, Light, Dark & Heart orbs.
Voids attribute damage absorption for 2 turns."
"Space-Time Acceleration Circle-Fr, Dk & Life","14","11","Adds 3 combos for 1 turn;
changes all Orbs to Fire, Dark & Heal Orbs","+3 combo counts for 1 turn.
Change all orbs to Fire, Dark & Heart orbs."
"Freezing Storm","13","6","Adds 1 combo for 1 turn; removes Orb locks,
changes all Orbs to Water & Heal Orbs","+1 combo counts for 1 turn.
Unlock all orbs.
Change all orbs to Water & Heart orbs."
